,Description,Max score,Total score,Query cover,E value,Ident,Accession,,
Select seq WP_092447717.1,glucosylceramidase [Winogradskyella sp. RHA_55],191,191,0.88,9.00E-53,0.27,WP_092447717.1,,
Select seq WP_028416997.1,MULTISPECIES: glycosyl hydrolase [Streptomyces],194,194,0.84,1.00E-52,0.27,WP_028416997.1,,
Select seq WP_117550659.1,MULTISPECIES: glycoside hydrolase [unclassified Lachnospiraceae],192,192,0.8,1.00E-52,0.27,WP_117550659.1,,
Select seq WP_110584281.1,"glucan endo-1,6-beta-glucosidase [Mucilaginibacter sp. OV119]",194,194,0.81,1.00E-52,0.27,WP_110584281.1,,
Select seq WP_009267329.1,glycoside hydrolase [Lachnospiraceae bacterium 1_4_56FAA],192,192,0.8,1.00E-52,0.27,WP_009267329.1,,
Select seq WP_090379323.1,glucosylceramidase [Dyadobacter sp. SG02],191,191,0.79,1.00E-52,0.27,WP_090379323.1,,
Select seq WP_075008660.1,glycosyl hydrolase [Stigmatella aurantiaca],194,194,0.81,1.00E-52,0.27,WP_075008660.1,,
Select seq WP_053562539.1,glycosyl hydrolase [Streptomyces sp. CFMR 7],194,194,0.84,1.00E-52,0.27,WP_053562539.1,,
Select seq WP_114928492.1,glycosyl hydrolase [Streptomyces cavourensis],194,194,0.84,2.00E-52,0.27,WP_114928492.1,,
Select seq WP_118434430.1,glucosylceramidase [Bacteroides cellulosilyticus],191,191,0.8,2.00E-52,0.27,WP_118434430.1,,
Select seq XP_011456351.1,"PREDICTED: endo-1,6-beta-D-glucanase BGN16.3 [Crassostrea gigas]",190,190,0.86,2.00E-52,0.27,XP_011456351.1,,
Select seq WP_061438030.1,glucosylceramidase [Bacteroides intestinalis],191,191,0.8,2.00E-52,0.27,WP_061438030.1,,
Select seq WP_010601178.1,glucosylceramidase [Pedobacter agri],190,190,0.91,3.00E-52,0.27,WP_010601178.1,,
Select seq WP_106153982.1,glucosylceramidase [Marinilabilia salmonicolor],190,190,0.8,4.00E-52,0.27,WP_106153982.1,,
Select seq WP_116170751.1,glucosylceramidase [Pedobacter sp. YR510],190,190,0.91,4.00E-52,0.27,WP_116170751.1,,
Select seq WP_109609156.1,"glucan endo-1,6-beta-glucosidase [Mucilaginibacter oryzae]",193,193,0.81,5.00E-52,0.27,WP_109609156.1,,
Select seq WP_093694475.1,glycosyl hydrolase [Streptomyces sp. ScaeMP-e83],193,193,0.84,5.00E-52,0.27,WP_093694475.1,,
Select seq WP_035685926.1,glucosylceramidase [Flavobacterium reichenbachii],189,189,0.81,5.00E-52,0.27,WP_035685926.1,,
Select seq WP_078023041.1,glycosyl hydrolase [Luteibacter rhizovicinus],190,190,0.87,5.00E-52,0.27,WP_078023041.1,,
Select seq WP_007216728.1,glucosylceramidase [Bacteroides cellulosilyticus],189,189,0.8,6.00E-52,0.27,WP_007216728.1,,
Select seq WP_026366716.1,glucosylceramidase [Bacteroides sp. 14(A)],189,189,0.8,7.00E-52,0.27,WP_026366716.1,,
Select seq WP_123218109.1,glucosylceramidase [Sinomicrobium pectinilyticum],189,189,0.81,8.00E-52,0.27,WP_123218109.1,,
Select seq WP_109167745.1,glycosyl hydrolase [Streptomyces sp. CS065A],192,192,0.84,8.00E-52,0.27,WP_109167745.1,,
Select seq WP_006841706.1,"glucan endo-1,6-beta-glucosidase [Dysgonomonas mossii]",189,189,0.85,8.00E-52,0.27,WP_006841706.1,,
Select seq WP_030565965.1,glycosyl hydrolase [Streptomyces cyaneofuscatus],192,192,0.84,1.00E-51,0.27,WP_030565965.1,,
Select seq WP_006744676.1,"glucan endo-1,6-beta-glucosidase [Bacteroides coprosuis]",189,189,0.85,1.00E-51,0.27,WP_006744676.1,,
Select seq WP_111590580.1,glucosylceramidase [Chitinophaga dinghuensis],188,188,0.86,1.00E-51,0.27,WP_111590580.1,,
Select seq WP_111288121.1,glucosylceramidase [Flavobacterium ginsenosidimutans],188,188,0.85,1.00E-51,0.27,WP_111288121.1,,
Select seq WP_033358535.1,"glucan endo-1,6-beta-glucosidase [Dactylosporangium aurantiacum]",192,192,0.8,1.00E-51,0.27,WP_033358535.1,,
Select seq WP_018491065.1,glycosyl hydrolase [Streptomyces sp. CcalMP-8W],192,192,0.84,1.00E-51,0.27,WP_018491065.1,,
Select seq WP_013634100.1,glucosylceramidase [Pseudopedobacter saltans],188,188,0.8,1.00E-51,0.27,WP_013634100.1,,
Select seq WP_099710672.1,glucosylceramidase [Flavobacterium sp. 9],188,188,0.85,1.00E-51,0.27,WP_099710672.1,,
Select seq WP_084425010.1,hypothetical protein [Kibdelosporangium aridum],191,191,0.87,2.00E-51,0.27,WP_084425010.1,,
Select seq WP_068498191.1,"beta-1,6-glucanase [Paenibacillus kribbensis]",189,189,0.8,2.00E-51,0.27,WP_068498191.1,,
Select seq WP_111633817.1,"glucan endo-1,6-beta-glucosidase [Pedobacter cryoconitis]",191,191,0.82,2.00E-51,0.27,WP_111633817.1,,
Select seq WP_093750020.1,glycosyl hydrolase [Streptomyces sp. DvalAA-19],191,191,0.84,2.00E-51,0.27,WP_093750020.1,,
Select seq WP_119822886.1,glycosyl hydrolase [Streptomyces cavourensis],191,191,0.84,2.00E-51,0.27,WP_119822886.1,,
Select seq WP_124469025.1,hypothetical protein [Burkholderia cenocepacia],188,188,0.81,2.00E-51,0.27,WP_124469025.1,,
Select seq WP_076966850.1,MULTISPECIES: glycosyl hydrolase [Streptomyces],191,191,0.84,2.00E-51,0.27,WP_076966850.1,,
Select seq WP_115476591.1,glycosyl hydrolase [Dyella sp. 4MSK11],188,188,0.86,3.00E-51,0.27,WP_115476591.1,,
Select seq WP_052305029.1,hypothetical protein [Stackebrandtia nassauensis],188,188,0.86,3.00E-51,0.27,WP_052305029.1,,
Select seq WP_041998337.1,hypothetical protein [Streptomyces sp. AcH 505],191,191,0.81,3.00E-51,0.27,WP_041998337.1,,
Select seq WP_084715317.1,hypothetical protein [Streptacidiphilus jeojiense],190,190,0.79,3.00E-51,0.27,WP_084715317.1,,
Select seq WP_109981298.1,glycosyl hydrolase [Streptomyces sp. CS090A],190,190,0.84,4.00E-51,0.27,WP_109981298.1,,
Select seq WP_095702535.1,glucosylceramidase [Mucilaginibacter sp. MD40],187,187,0.81,4.00E-51,0.27,WP_095702535.1,,
Select seq WP_090390186.1,glucosylceramidase [Niabella drilacis],187,187,0.8,4.00E-51,0.27,WP_090390186.1,,
Select seq WP_019943901.1,hypothetical protein [Dyadobacter beijingensis],187,187,0.81,5.00E-51,0.27,WP_019943901.1,,
Select seq WP_026983785.1,glucosylceramidase [Flavobacterium sp. URHB0058],187,187,0.85,5.00E-51,0.27,WP_026983785.1,,
Select seq WP_118208257.1,hypothetical protein [Tyzzerella nexilis],191,191,0.81,5.00E-51,0.27,WP_118208257.1,,
Select seq WP_076130580.1,glycosyl hydrolase [Paenibacillus odorifer],186,186,0.8,5.00E-51,0.27,WP_076130580.1,,
Select seq WP_103417073.1,glycosyl hydrolase [Streptomyces sp. ZL-24],190,190,0.84,5.00E-51,0.27,WP_103417073.1,,
Select seq WP_064638578.1,"glucan endo-1,6-beta-glucosidase [Paenibacillus sp. AD87]",187,187,0.87,5.00E-51,0.27,WP_064638578.1,,
Select seq WP_076280905.1,glycosyl hydrolase [Paenibacillus odorifer],186,186,0.8,6.00E-51,0.27,WP_076280905.1,,
Select seq WP_038569998.1,glycosyl hydrolase [Paenibacillus odorifer],186,186,0.8,6.00E-51,0.27,WP_038569998.1,,
Select seq WP_111503502.1,glycosyl hydrolase [Paenibacillus odorifer],186,186,0.8,6.00E-51,0.27,WP_111503502.1,,
Select seq WP_076296309.1,glycosyl hydrolase [Paenibacillus odorifer],186,186,0.8,7.00E-51,0.27,WP_076296309.1,,
Select seq WP_076133470.1,glycosyl hydrolase [Paenibacillus odorifer],186,186,0.8,7.00E-51,0.27,WP_076133470.1,,
Select seq WP_110837564.1,MULTISPECIES: glucosylceramidase [Flavobacterium],186,186,0.81,7.00E-51,0.27,WP_110837564.1,,
Select seq WP_076280454.1,glycosyl hydrolase [Paenibacillus odorifer],186,186,0.8,7.00E-51,0.27,WP_076280454.1,,
Select seq WP_089353061.1,glucosylceramidase [Flavobacterium sp. ov086],186,186,0.84,7.00E-51,0.27,WP_089353061.1,,
Select seq WP_026242048.1,glycosyl hydrolase [Streptomyces sp. ScaeMP-e10],189,189,0.84,7.00E-51,0.27,WP_026242048.1,,
Select seq WP_076274278.1,glycosyl hydrolase [Paenibacillus odorifer],186,186,0.8,7.00E-51,0.27,WP_076274278.1,,
Select seq WP_036689741.1,MULTISPECIES: glycosyl hydrolase [Paenibacillus],185,185,0.8,8.00E-51,0.27,WP_036689741.1,,
Select seq WP_076277433.1,glycosyl hydrolase [Paenibacillus odorifer],185,185,0.8,8.00E-51,0.27,WP_076277433.1,,
Select seq WP_069328467.1,"glucan endo-1,6-beta-glucosidase [Paenibacillus sp. TI45-13ar]",187,187,0.87,8.00E-51,0.27,WP_069328467.1,,
Select seq WP_076306266.1,glycosyl hydrolase [Paenibacillus odorifer],185,185,0.8,9.00E-51,0.27,WP_076306266.1,,
Select seq WP_115404358.1,glucosylceramidase [Pedobacter sp. JDX94],186,186,0.8,1.00E-50,0.27,WP_115404358.1,,
Select seq WP_074489264.1,glucosylceramidase [Mucilaginibacter polytrichastri],186,186,0.8,1.00E-50,0.27,WP_074489264.1,,
Select seq WP_076100769.1,glycosyl hydrolase [Paenibacillus odorifer],185,185,0.8,1.00E-50,0.27,WP_076100769.1,,
Select seq WP_090473685.1,glucosylceramidase [Mucilaginibacter sp. OK268],186,186,0.8,1.00E-50,0.27,WP_090473685.1,,
Select seq WP_093788122.1,"glucan endo-1,6-beta-glucosidase [Streptomyces guanduensis]",189,189,0.85,1.00E-50,0.27,WP_093788122.1,,
Select seq WP_084744060.1,glycosyl hydrolase [Kitasatospora albolonga],189,189,0.84,1.00E-50,0.27,WP_084744060.1,,
Select seq WP_052181067.1,hypothetical protein [Alistipes sp. ZOR0009],185,185,0.84,1.00E-50,0.27,WP_052181067.1,,
Select seq WP_044013286.1,glucosylceramidase [Hymenobacter sp. APR13],186,186,0.83,1.00E-50,0.27,WP_044013286.1,,
Select seq WP_076204452.1,glycosyl hydrolase [Paenibacillus odorifer],185,185,0.8,1.00E-50,0.27,WP_076204452.1,,
Select seq WP_004613420.1,MULTISPECIES: hypothetical protein [Tyzzerella],189,189,0.81,2.00E-50,0.27,WP_004613420.1,,
Select seq WP_011684394.1,glucosylceramidase [Candidatus Solibacter usitatus],185,185,0.82,2.00E-50,0.27,WP_011684394.1,,
Select seq WP_056290331.1,glucosylceramidase [Dyadobacter sp. Leaf189],185,185,0.8,2.00E-50,0.27,WP_056290331.1,,
Select seq WP_076105378.1,glycosyl hydrolase [Paenibacillus odorifer],185,185,0.8,2.00E-50,0.27,WP_076105378.1,,
Select seq WP_044987534.1,hypothetical protein [Tyzzerella nexilis],189,189,0.81,2.00E-50,0.27,WP_044987534.1,,
Select seq WP_076303048.1,glycosyl hydrolase [Paenibacillus odorifer],185,185,0.8,2.00E-50,0.27,WP_076303048.1,,
Select seq WP_022826071.1,glucosylceramidase [Hymenobacter norwichensis],185,185,0.8,2.00E-50,0.27,WP_022826071.1,,
Select seq WP_076187260.1,glycosyl hydrolase [Paenibacillus odorifer],185,185,0.8,2.00E-50,0.27,WP_076187260.1,,
Select seq WP_051326229.1,hypothetical protein [Glycomyces tenuis],188,188,0.87,2.00E-50,0.27,WP_051326229.1,,
Select seq WP_077554189.1,glycosyl hydrolase [Rhodanobacter sp. B04],186,186,0.87,2.00E-50,0.27,WP_077554189.1,,
Select seq WP_091120391.1,"glucan endo-1,6-beta-glucosidase [Nocardioides terrae]",189,189,0.85,2.00E-50,0.27,WP_091120391.1,,
Select seq WP_081883543.1,hypothetical protein [Glycomyces tenuis],188,188,0.87,2.00E-50,0.27,WP_081883543.1,,
Select seq WP_038333312.1,glucosylceramidase [Empedobacter falsenii],185,185,0.79,2.00E-50,0.27,WP_038333312.1,,
Select seq WP_115002309.1,glucosylceramidase [Empedobacter falsenii],185,185,0.79,3.00E-50,0.27,WP_115002309.1,,
Select seq WP_089960028.1,"glucan endo-1,6-beta-glucosidase [Lechevalieria xinjiangensis]",188,188,0.79,3.00E-50,0.27,WP_089960028.1,,
Select seq WP_076382098.1,glucosylceramidase [Filimonas lacunae],185,185,0.81,3.00E-50,0.27,WP_076382098.1,,
Select seq WP_095928000.1,glucosylceramidase [Flavobacterium sp. ACN2],185,185,0.81,3.00E-50,0.27,WP_095928000.1,,
Select seq WP_097922668.1,glycosyl hydrolase [Streptomyces sp. wa1063],187,187,0.84,3.00E-50,0.27,WP_097922668.1,,
Select seq WP_030809269.1,glycosyl hydrolase [Streptomyces mediolani],188,188,0.84,3.00E-50,0.27,WP_030809269.1,,
Select seq WP_076283060.1,glycosyl hydrolase [Paenibacillus odorifer],184,184,0.8,3.00E-50,0.27,WP_076283060.1,,
Select seq WP_053735269.1,"glucan endo-1,6-beta-glucosidase [Nocardia sp. NRRL S-836]",187,187,0.8,4.00E-50,0.27,WP_053735269.1,,
Select seq WP_098897512.1,glycosyl hydrolase [Streptomyces sp. st77],187,187,0.84,4.00E-50,0.27,WP_098897512.1,,
Select seq WP_007909656.1,"glucan endo-1,6-beta-glucosidase [Ktedonobacter racemifer]",188,188,0.81,4.00E-50,0.27,WP_007909656.1,,
Select seq WP_089026126.1,glucosylceramidase [Chryseobacterium sp. T16E-39],184,184,0.81,4.00E-50,0.27,WP_089026126.1,,
Select seq WP_109174361.1,glycosyl hydrolase [Streptomyces sp. CS147],187,187,0.84,4.00E-50,0.27,WP_109174361.1,,
Select seq WP_108686212.1,"glucan endo-1,6-beta-glucosidase [Chitinophaga parva]",187,187,0.81,4.00E-50,0.27,WP_108686212.1,,
Select seq WP_036278295.1,MULTISPECIES: glucosylceramidase [Methylomonas],184,184,0.79,5.00E-50,0.27,WP_036278295.1,,
Select seq WP_088576150.1,glycosyl hydrolase [Streptomyces sp. PgraA7],187,187,0.84,5.00E-50,0.27,WP_088576150.1,,
Select seq WP_114464031.1,glucosylceramidase [Runella sp. YX9],183,183,0.8,5.00E-50,0.27,WP_114464031.1,,
Select seq WP_099084783.1,glucosylceramidase [Nostoc linckia],184,184,0.85,5.00E-50,0.27,WP_099084783.1,,
Select seq WP_082491323.1,glucosylceramidase [Pedobacter sp. Leaf194],183,183,0.79,7.00E-50,0.27,WP_082491323.1,,
Select seq WP_076193812.1,glycosyl hydrolase [Paenibacillus odorifer],183,183,0.8,7.00E-50,0.27,WP_076193812.1,,
Select seq WP_086045795.1,glucosylceramidase [Chryseobacterium halperniae],183,183,0.88,8.00E-50,0.27,WP_086045795.1,,
Select seq WP_110885620.1,glycosyl hydrolase [Deinococcus yavapaiensis],184,184,0.81,8.00E-50,0.27,WP_110885620.1,,
Select seq WP_100539634.1,glycosyl hydrolase [Paenibacillus sp. GM2FR],183,183,0.83,8.00E-50,0.27,WP_100539634.1,,
Select seq WP_059041895.1,glycosyl hydrolase [Paenibacillus rubinfantis],183,183,0.85,8.00E-50,0.27,WP_059041895.1,,
Select seq WP_097878783.1,glycosyl hydrolase [Streptomyces sp. ms184],187,187,0.84,9.00E-50,0.27,WP_097878783.1,,
Select seq WP_076322637.1,glycosyl hydrolase [Paenibacillus lautus],183,183,0.83,9.00E-50,0.27,WP_076322637.1,,
Select seq WP_097985760.1,glycosyl hydrolase [Streptomyces sp. f150],187,187,0.84,9.00E-50,0.27,WP_097985760.1,,
Select seq WP_034979170.1,glucosylceramidase [Chryseobacterium halperniae],184,184,0.88,1.00E-49,0.27,WP_034979170.1,,
Select seq WP_046311446.1,glucosylceramidase [Pontibacter korlensis],183,183,0.79,1.00E-49,0.27,WP_046311446.1,,
Select seq WP_090096966.1,"glucan endo-1,6-beta-glucosidase [Lentzea jiangxiensis]",186,186,0.8,1.00E-49,0.27,WP_090096966.1,,
Select seq WP_044376933.1,MULTISPECIES: glycosyl hydrolase [Streptomyces],186,186,0.84,1.00E-49,0.27,WP_044376933.1,,
Select seq WP_098895393.1,glycosyl hydrolase [Streptomyces sp. t99],186,186,0.84,2.00E-49,0.27,WP_098895393.1,,
Select seq WP_053716850.1,"glucan endo-1,6-beta-glucosidase [Saccharothrix sp. NRRL B-16348]",186,186,0.86,2.00E-49,0.27,WP_053716850.1,,
Select seq WP_023363757.1,glucosylceramidase [Actinoplanes friuliensis],186,186,0.82,2.00E-49,0.27,WP_023363757.1,,
Select seq WP_056872945.1,glycosyl hydrolase [Pelomonas sp. Root1444],182,182,0.8,2.00E-49,0.27,WP_056872945.1,,
Select seq WP_116741006.1,glucosylceramidase [Filimonas sp. YR581],182,182,0.8,2.00E-49,0.27,WP_116741006.1,,
Select seq WP_117507256.1,glucosylceramidase [Alistipes sp. AM16-43],182,182,0.79,3.00E-49,0.27,WP_117507256.1,,
Select seq WP_098020129.1,glycosyl hydrolase [Streptomyces sp. b62],185,185,0.84,3.00E-49,0.27,WP_098020129.1,,
Select seq WP_093601934.1,"glucan endo-1,6-beta-glucosidase [Lentzea waywayandensis]",185,185,0.79,3.00E-49,0.27,WP_093601934.1,,
Select seq WP_054403809.1,glycosyl hydrolase [Paenibacillus solani],182,182,0.83,3.00E-49,0.27,WP_054403809.1,,
Select seq WP_076308915.1,glycosyl hydrolase [Paenibacillus odorifer],182,182,0.8,3.00E-49,0.27,WP_076308915.1,,
Select seq WP_061319047.1,glycosyl hydrolase [Clostridium botulinum],181,181,0.84,3.00E-49,0.27,WP_061319047.1,,
Select seq WP_030719734.1,glycosyl hydrolase [Streptomyces griseus],185,185,0.84,3.00E-49,0.27,WP_030719734.1,,
Select seq WP_041349936.1,glycosyl hydrolase [Clostridium botulinum],181,181,0.84,3.00E-49,0.27,WP_041349936.1,,
Select seq WP_103512251.1,glycosyl hydrolase [Streptomyces sp. SM13],185,185,0.84,3.00E-49,0.27,WP_103512251.1,,
Select seq WP_065484316.1,glycosyl hydrolase [Streptomyces sp. PTY087I2],185,185,0.84,3.00E-49,0.27,WP_065484316.1,,
Select seq WP_093444587.1,glycosyl hydrolase [Streptomyces sp. Cmuel-A718b],185,185,0.84,3.00E-49,0.27,WP_093444587.1,,
Select seq WP_029182288.1,glycosyl hydrolase [Streptomyces globisporus],185,185,0.84,4.00E-49,0.27,WP_029182288.1,,
Select seq WP_122933882.1,glucosylceramidase [Runella sp. SP2],181,181,0.8,4.00E-49,0.27,WP_122933882.1,,
Select seq WP_073823557.1,glycosyl hydrolase [Streptomyces sp. CB02130],185,185,0.84,4.00E-49,0.27,WP_073823557.1,,
Select seq WP_030587500.1,glycosyl hydrolase [Streptomyces globisporus],185,185,0.84,4.00E-49,0.27,WP_030587500.1,,
Select seq WP_073570559.1,glucosylceramidase [Algoriphagus zhangzhouensis],181,181,0.8,4.00E-49,0.27,WP_073570559.1,,
Select seq WP_109177325.1,glycosyl hydrolase [Streptomyces sp. CS131],185,185,0.84,4.00E-49,0.27,WP_109177325.1,,
Select seq WP_069380269.1,"glucan endo-1,6-beta-glucosidase [Pedobacter steynii]",185,185,0.79,4.00E-49,0.27,WP_069380269.1,,
Select seq WP_068537619.1,glycosyl hydrolase [Paenibacillus glacialis],181,181,0.82,5.00E-49,0.27,WP_068537619.1,,
Select seq WP_082443194.1,MULTISPECIES: glycosyl hydrolase [Sphingomonas],181,181,0.86,5.00E-49,0.27,WP_082443194.1,,
Select seq WP_120604079.1,glycosyl hydrolase [Corallococcus sp. CA043D],185,185,0.83,5.00E-49,0.27,WP_120604079.1,,
Select seq WP_012794300.1,glucosylceramidase [Chitinophaga pinensis],182,182,0.79,5.00E-49,0.27,WP_012794300.1,,
Select seq WP_089779140.1,glucosylceramidase [Chitinophaga sp. YR573],181,181,0.87,5.00E-49,0.27,WP_089779140.1,,
Select seq WP_056708194.1,MULTISPECIES: glycosyl hydrolase [Streptomyces],185,185,0.84,5.00E-49,0.27,WP_056708194.1,,
Select seq WP_050361681.1,glycosyl hydrolase [Streptomyces europaeiscabiei],185,185,0.84,5.00E-49,0.27,WP_050361681.1,,
Select seq WP_076041099.1,glycosyl hydrolase [Clostridium botulinum],180,180,0.85,6.00E-49,0.27,WP_076041099.1,,
Select seq WP_073778445.1,glycosyl hydrolase [Streptomyces sp. TSRI0445],185,185,0.84,6.00E-49,0.27,WP_073778445.1,,
Select seq WP_071506445.1,glucosylceramidase [Arsenicibacter rosenii],181,181,0.8,6.00E-49,0.27,WP_071506445.1,,
Select seq WP_120514763.1,glucosylceramidase [Chitinophaga barathri],181,181,0.79,6.00E-49,0.27,WP_120514763.1,,
Select seq WP_097887029.1,glycosyl hydrolase [Streptomyces sp. st140],185,185,0.84,6.00E-49,0.27,WP_097887029.1,,
Select seq WP_073960564.1,glycosyl hydrolase [Streptomyces sp. TSRI0395],184,184,0.84,6.00E-49,0.27,WP_073960564.1,,
Select seq WP_110979992.1,glucosylceramidase [Hymenobacter sp. ELS1360],181,181,0.8,6.00E-49,0.27,WP_110979992.1,,
Select seq WP_057660756.1,glycosyl hydrolase [Streptomyces anulatus],184,184,0.84,7.00E-49,0.27,WP_057660756.1,,
Select seq WP_043795974.1,glycosyl hydrolase [Rhodanobacter sp. OR87],182,182,0.85,7.00E-49,0.27,WP_043795974.1,,
Select seq WP_019464816.1,hypothetical protein [Dyella japonica],181,181,0.79,7.00E-49,0.27,WP_019464816.1,,
Select seq WP_089910769.1,hypothetical protein [Lentzea albida],184,184,0.8,7.00E-49,0.27,WP_089910769.1,,
Select seq WP_120528983.1,glycosyl hydrolase [Corallococcus sp. AB043A],184,184,0.83,7.00E-49,0.27,WP_120528983.1,,
Select seq WP_120558522.1,glycosyl hydrolase [Corallococcus sp. AB050A],184,184,0.8,7.00E-49,0.27,WP_120558522.1,,
Select seq WP_035350943.1,glucosylceramidase [Edaphobacter aggregans],181,181,0.81,7.00E-49,0.27,WP_035350943.1,,
Select seq WP_084599310.1,hypothetical protein [Actinoplanes subtropicus],186,186,0.84,8.00E-49,0.27,WP_084599310.1,,
Select seq WP_007511706.1,MULTISPECIES: glycosyl hydrolase [Rhodanobacter],182,182,0.85,8.00E-49,0.27,WP_007511706.1,,
Select seq WP_073743633.1,glycosyl hydrolase [Streptomyces sp. CB02115],184,184,0.84,8.00E-49,0.27,WP_073743633.1,,
Select seq WP_097893106.1,glycosyl hydrolase [Streptomyces sp. st170],184,184,0.84,8.00E-49,0.27,WP_097893106.1,,
Select seq WP_020481101.1,hypothetical protein [Methylomonas sp. MK1],180,180,0.81,9.00E-49,0.27,WP_020481101.1,,
Select seq WP_077513903.1,glycosyl hydrolase [Rhodanobacter sp. B05],182,182,0.86,9.00E-49,0.27,WP_077513903.1,,
Select seq WP_090532686.1,glucosylceramidase [Mucilaginibacter sp. NFR10],180,180,0.8,9.00E-49,0.27,WP_090532686.1,,
Select seq WP_097991424.1,glycosyl hydrolase [Streptomyces sp. f51],184,184,0.84,9.00E-49,0.27,WP_097991424.1,,
Select seq WP_008436710.1,glycosyl hydrolase [Rhodanobacter thiooxydans],182,182,0.86,1.00E-48,0.27,WP_008436710.1,,
Select seq WP_041998338.1,"glucan endo-1,6-beta-glucosidase [Streptomyces sp. AcH 505]",184,184,0.8,1.00E-48,0.27,WP_041998338.1,,
Select seq WP_004452000.1,glycosyl hydrolase [Clostridium botulinum],180,180,0.84,1.00E-48,0.27,WP_004452000.1,,
Select seq WP_107910812.1,glycosyl hydrolase [Luteibacter sp. OK325],181,181,0.79,1.00E-48,0.27,WP_107910812.1,,
Select seq WP_089815906.1,glucosylceramidase [Chitinophaga sp. YR627],180,180,0.79,1.00E-48,0.27,WP_089815906.1,,
Select seq WP_014397977.1,glycosyl hydrolase [Corallococcus coralloides],183,183,0.8,2.00E-48,0.27,WP_014397977.1,,
Select seq WP_072584744.1,glycosyl hydrolase [Clostridium botulinum],179,179,0.85,2.00E-48,0.27,WP_072584744.1,,
Select seq WP_120590494.1,glycosyl hydrolase [Corallococcus sp. CA054B],183,183,0.8,2.00E-48,0.27,WP_120590494.1,,
Select seq WP_093808323.1,glycosyl hydrolase [Streptomyces sp. Ncost-T6T-1],183,183,0.84,2.00E-48,0.27,WP_093808323.1,,
Select seq WP_054765011.1,glycosyl hydrolase [Brevundimonas sp. DS20],180,180,0.9,2.00E-48,0.27,WP_054765011.1,,
Select seq WP_102909599.1,hypothetical protein [Streptomyces sp. 13K301],187,187,0.81,2.00E-48,0.27,WP_102909599.1,,
Select seq WP_045311155.1,"glucan endo-1,6-beta-glucosidase [Lechevalieria aerocolonigenes]",183,183,0.79,2.00E-48,0.27,WP_045311155.1,,
Select seq WP_072363765.1,"glucan endo-1,6-beta-glucosidase [Chitinophaga sancti]",180,180,0.85,2.00E-48,0.27,WP_072363765.1,,
Select seq WP_012791971.1,"glucan endo-1,6-beta-glucosidase [Chitinophaga pinensis]",182,182,0.8,2.00E-48,0.27,WP_012791971.1,,
Select seq WP_012344917.1,glycosyl hydrolase [Clostridium botulinum],179,179,0.85,2.00E-48,0.27,WP_012344917.1,,
Select seq WP_120568267.1,glycosyl hydrolase [Corallococcus sp. AB011P],183,183,0.8,2.00E-48,0.27,WP_120568267.1,,
Select seq WP_061991684.1,glucosylceramidase [Flammeovirgaceae bacterium 311],180,180,0.91,2.00E-48,0.27,WP_061991684.1,,
Select seq WP_047245248.1,glucosylceramidase [Maribacter thermophilus],180,180,0.79,2.00E-48,0.27,WP_047245248.1,,
Select seq WP_051274993.1,"glucan endo-1,6-beta-glucosidase [Cellulomonas sp. URHD0024]",183,183,0.79,2.00E-48,0.27,WP_051274993.1,,
Select seq WP_067508667.1,hypothetical protein [Actinoplanes sp. TFC3],182,182,0.8,2.00E-48,0.27,WP_067508667.1,,
Select seq WP_097947187.1,glycosyl hydrolase [Streptomyces sp. ms115],182,182,0.84,3.00E-48,0.27,WP_097947187.1,,
Select seq WP_032789465.1,MULTISPECIES: glycosyl hydrolase [Streptomyces],182,182,0.84,3.00E-48,0.27,WP_032789465.1,,
Select seq WP_100560696.1,glycosyl hydrolase [Streptomyces sp. CB02613],182,182,0.84,3.00E-48,0.27,WP_100560696.1,,
Select seq WP_113951608.1,glucosylceramidase [Pedobacter sp. RS10],179,179,0.79,3.00E-48,0.27,WP_113951608.1,,
Select seq WP_020707429.1,hypothetical protein [Acidobacteriaceae bacterium KBS 83],179,179,0.84,3.00E-48,0.27,WP_020707429.1,,
Select seq WP_100218174.1,glycosyl hydrolase [Dyella japonica],180,180,0.79,3.00E-48,0.27,WP_100218174.1,,
Select seq WP_108198103.1,glucosylceramidase [Pedobacter sp. OK291],179,179,0.79,3.00E-48,0.27,WP_108198103.1,,
Select seq WP_121715469.1,glycosyl hydrolase [Corallococcus sp. AB045],182,182,0.8,3.00E-48,0.27,WP_121715469.1,,
Select seq WP_032768926.1,glycosyl hydrolase [Streptomyces sp. CNS654],182,182,0.84,3.00E-48,0.27,WP_032768926.1,,
Select seq WP_105445743.1,glycosyl hydrolase [Paenibacillus sp. AR247],179,179,0.8,3.00E-48,0.27,WP_105445743.1,,
Select seq WP_013073756.1,glucosylceramidase [Zunongwangia profunda],179,179,0.79,3.00E-48,0.27,WP_013073756.1,,
Select seq WP_083307252.1,hypothetical protein [Olsenella sp. HMSC062G07],180,180,0.86,3.00E-48,0.27,WP_083307252.1,,
Select seq WP_075268113.1,glycosyl hydrolase [Streptomyces sp. Tue 6075],182,182,0.84,4.00E-48,0.27,WP_075268113.1,,
Select seq WP_063570572.1,glycosyl hydrolase [Luteibacter rhizovicinus],180,180,0.79,4.00E-48,0.27,WP_063570572.1,,
Select seq WP_025145283.1,glucosylceramidase [Pedobacter jeongneungensis],179,179,0.84,4.00E-48,0.27,WP_025145283.1,,
